#sample	 RC_RC_1
#d(mm)	 17.0
#D(mm)	 321.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 2
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 2 
#notes	 RkOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 33.5469999313
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
7.0038e+03	2.2608e+07	-9.0252e+01	2.3847e-02	-1.0491e-04
7.2690e+03	2.1610e+07	-8.9744e+01	2.4038e-02	1.0727e-04
7.5442e+03	2.0859e+07	-9.0106e+01	2.3995e-02	-4.4582e-05
7.8298e+03	2.0232e+07	-8.9535e+01	2.3835e-02	1.9337e-04
8.1263e+03	1.9392e+07	-8.9858e+01	2.3961e-02	5.9224e-05
8.4339e+03	1.8934e+07	-9.0194e+01	2.3645e-02	-8.0019e-05
8.7532e+03	1.8072e+07	-8.9588e+01	2.3869e-02	1.7178e-04
9.0846e+03	1.7364e+07	-8.9676e+01	2.3936e-02	1.3553e-04
9.4286e+03	1.6683e+07	-8.9956e+01	2.4005e-02	1.8341e-05
9.7855e+03	1.6054e+07	-8.9653e+01	2.4036e-02	1.4565e-04
1.0156e+04	1.5532e+07	-8.9664e+01	2.3937e-02	1.4032e-04
1.0541e+04	1.4969e+07	-8.9785e+01	2.3931e-02	8.9746e-05
1.0940e+04	1.4437e+07	-8.9810e+01	2.3908e-02	7.9258e-05
1.1354e+04	1.3897e+07	-8.9698e+01	2.3931e-02	1.2634e-04
1.1784e+04	1.3376e+07	-8.9750e+01	2.3956e-02	1.0454e-04
1.2230e+04	1.2902e+07	-8.9942e+01	2.3930e-02	2.4427e-05
1.2693e+04	1.2453e+07	-8.9859e+01	2.3888e-02	5.8661e-05
1.3173e+04	1.1967e+07	-8.9944e+01	2.3951e-02	2.3451e-05
1.3672e+04	1.1561e+07	-8.9868e+01	2.3890e-02	5.4934e-05
1.4190e+04	1.1074e+07	-8.9850e+01	2.4029e-02	6.2816e-05
1.4727e+04	1.0759e+07	-8.9842e+01	2.3831e-02	6.5625e-05
1.5284e+04	1.0349e+07	-8.9864e+01	2.3871e-02	5.6532e-05
1.5863e+04	9.9707e+06	-8.9866e+01	2.3873e-02	5.6012e-05
1.6464e+04	9.5888e+06	-8.9822e+01	2.3918e-02	7.4374e-05
1.7087e+04	9.2572e+06	-8.9884e+01	2.3871e-02	4.8207e-05
1.7734e+04	8.9206e+06	-8.9940e+01	2.3868e-02	2.5083e-05
1.8405e+04	8.6060e+06	-8.9986e+01	2.3838e-02	5.7010e-06
1.9102e+04	8.2791e+06	-8.9924e+01	2.3876e-02	3.1710e-05
1.9825e+04	7.9728e+06	-8.9857e+01	2.3889e-02	5.9653e-05
