#sample	 RCRC_1
#d(mm)	 1.978
#D(mm)	 6.506
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 3
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 32 
#notes	 R4.7kOhms_C47nF_R4.7kOhms_C1pF
#time_of_analysis	 482.128999949
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
1.4747e+05	4.5764e+03	-5.9599e-01	1.6484e+01	1.5846e+03
1.5305e+05	4.5763e+03	-5.9582e-01	1.5878e+01	1.5268e+03
1.5885e+05	4.5762e+03	-5.9782e-01	1.5350e+01	1.4712e+03
1.6486e+05	4.5763e+03	-6.0110e-01	1.4872e+01	1.4175e+03
1.7110e+05	4.5763e+03	-6.0259e-01	1.4365e+01	1.3658e+03
1.7758e+05	4.5763e+03	-6.0886e-01	1.3985e+01	1.3160e+03
1.8431e+05	4.5763e+03	-6.1536e-01	1.3618e+01	1.2679e+03
1.9128e+05	4.5763e+03	-6.1895e-01	1.3198e+01	1.2217e+03
1.9853e+05	4.5764e+03	-6.2692e-01	1.2880e+01	1.1771e+03
2.0604e+05	4.5762e+03	-6.3477e-01	1.2566e+01	1.1342e+03
2.1384e+05	4.5761e+03	-6.4362e-01	1.2277e+01	1.0929e+03
2.2194e+05	4.5760e+03	-6.5519e-01	1.2042e+01	1.0530e+03
2.3034e+05	4.5760e+03	-6.6508e-01	1.1778e+01	1.0146e+03
2.3906e+05	4.5760e+03	-6.7703e-01	1.1552e+01	9.7758e+02
2.4811e+05	4.5759e+03	-6.8903e-01	1.1328e+01	9.4195e+02
2.5751e+05	4.5758e+03	-7.0233e-01	1.1126e+01	9.0759e+02
2.6726e+05	4.5758e+03	-7.1412e-01	1.0900e+01	8.7448e+02
2.7737e+05	4.5757e+03	-7.3427e-01	1.0799e+01	8.4261e+02
2.8788e+05	4.5757e+03	-7.4905e-01	1.0614e+01	8.1186e+02
2.9877e+05	4.5756e+03	-7.6671e-01	1.0468e+01	7.8225e+02
3.1009e+05	4.5756e+03	-7.8668e-01	1.0349e+01	7.5371e+02
3.2183e+05	4.5757e+03	-8.0577e-01	1.0214e+01	7.2621e+02
3.3401e+05	4.5757e+03	-8.2407e-01	1.0065e+01	6.9971e+02
3.4666e+05	4.5756e+03	-8.4589e-01	9.9543e+00	6.7420e+02
3.5978e+05	4.5755e+03	-8.6902e-01	9.8536e+00	6.4961e+02
3.7340e+05	4.5754e+03	-8.9368e-01	9.7637e+00	6.2592e+02
3.8754e+05	4.5754e+03	-9.1803e-01	9.6640e+00	6.0309e+02
4.0221e+05	4.5754e+03	-9.4480e-01	9.5828e+00	5.8108e+02
4.1744e+05	4.5753e+03	-9.7420e-01	9.5209e+00	5.5990e+02
4.3324e+05	4.5751e+03	-1.0036e+00	9.4503e+00	5.3949e+02
4.4964e+05	4.5752e+03	-1.0324e+00	9.3670e+00	5.1980e+02
4.6667e+05	4.5750e+03	-1.0650e+00	9.3104e+00	5.0085e+02
4.8433e+05	4.5750e+03	-1.0982e+00	9.2508e+00	4.8257e+02
5.0267e+05	4.5749e+03	-1.1327e+00	9.1936e+00	4.6498e+02
5.2170e+05	4.5748e+03	-1.1702e+00	9.1519e+00	4.4802e+02
5.4145e+05	4.5748e+03	-1.2052e+00	9.0812e+00	4.3167e+02
5.6195e+05	4.5746e+03	-1.2435e+00	9.0287e+00	4.1594e+02
5.8323e+05	4.5745e+03	-1.2839e+00	8.9815e+00	4.0076e+02
6.0531e+05	4.5745e+03	-1.3282e+00	8.9528e+00	3.8614e+02
6.2823e+05	4.5744e+03	-1.3722e+00	8.9122e+00	3.7206e+02
6.5201e+05	4.5742e+03	-1.4181e+00	8.8748e+00	3.5849e+02
6.7670e+05	4.5741e+03	-1.4673e+00	8.8476e+00	3.4541e+02
7.0232e+05	4.5740e+03	-1.5168e+00	8.8125e+00	3.3281e+02
7.2891e+05	4.5738e+03	-1.5696e+00	8.7871e+00	3.2068e+02
7.5650e+05	4.5737e+03	-1.6242e+00	8.7611e+00	3.0898e+02
7.8514e+05	4.5736e+03	-1.6801e+00	8.7320e+00	2.9770e+02
8.1487e+05	4.5734e+03	-1.7411e+00	8.7195e+00	2.8685e+02
8.4572e+05	4.5732e+03	-1.8042e+00	8.7059e+00	2.7639e+02
8.7774e+05	4.5732e+03	-1.8678e+00	8.6841e+00	2.6630e+02
9.1097e+05	4.5731e+03	-1.9336e+00	8.6621e+00	2.5658e+02
9.4546e+05	4.5730e+03	-2.0042e+00	8.6512e+00	2.4721e+02
9.8125e+05	4.5727e+03	-2.0758e+00	8.6338e+00	2.3820e+02
1.0184e+06	4.5724e+03	-2.1511e+00	8.6208e+00	2.2951e+02
1.0570e+06	4.5721e+03	-2.2284e+00	8.6053e+00	2.2115e+02
1.0970e+06	4.5718e+03	-2.3097e+00	8.5941e+00	2.1308e+02
1.1385e+06	4.5705e+03	-2.3879e+00	8.5634e+00	2.0535e+02
1.1816e+06	4.5704e+03	-2.4762e+00	8.5561e+00	1.9786e+02
1.2263e+06	4.5700e+03	-2.5665e+00	8.5452e+00	1.9064e+02
1.2728e+06	4.5696e+03	-2.6595e+00	8.5326e+00	1.8369e+02
1.3210e+06	4.5691e+03	-2.7557e+00	8.5191e+00	1.7699e+02
1.3710e+06	4.5687e+03	-2.8556e+00	8.5066e+00	1.7054e+02
1.4229e+06	4.5682e+03	-2.9618e+00	8.5016e+00	1.6432e+02
1.4767e+06	4.5677e+03	-3.0691e+00	8.4890e+00	1.5833e+02
1.5327e+06	4.5673e+03	-3.1822e+00	8.4812e+00	1.5255e+02
1.5907e+06	4.5668e+03	-3.3001e+00	8.4754e+00	1.4698e+02
1.6509e+06	4.5662e+03	-3.4216e+00	8.4673e+00	1.4162e+02
1.7134e+06	4.5655e+03	-3.5485e+00	8.4620e+00	1.3646e+02
