#sample	 RC_RC_0
#d(mm)	 1.0
#D(mm)	 1.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 4
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 64 
#notes	 R4,7kOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 1795.22099996
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
2.3873e+04	1.3732e+02	-8.6232e+01	6.9661e+06	4.5882e+05
2.4777e+04	1.3237e+02	-8.6237e+01	6.9631e+06	4.5799e+05
2.5715e+04	1.2760e+02	-8.6240e+01	6.9600e+06	4.5743e+05
2.6689e+04	1.2300e+02	-8.6239e+01	6.9567e+06	4.5727e+05
2.7699e+04	1.1857e+02	-8.6235e+01	6.9536e+06	4.5765e+05
2.8748e+04	1.1429e+02	-8.6227e+01	6.9507e+06	4.5834e+05
2.9836e+04	1.1016e+02	-8.6216e+01	6.9478e+06	4.5957e+05
3.0966e+04	1.0619e+02	-8.6200e+01	6.9447e+06	4.6127e+05
3.2138e+04	1.0237e+02	-8.6178e+01	6.9411e+06	4.6368e+05
3.3355e+04	9.8681e+01	-8.6153e+01	6.9376e+06	4.6657e+05
3.4618e+04	9.5129e+01	-8.6122e+01	6.9339e+06	4.7002e+05
3.5928e+04	9.1704e+01	-8.6088e+01	6.9301e+06	4.7393e+05
3.7289e+04	8.8404e+01	-8.6048e+01	6.9263e+06	4.7848e+05
3.8700e+04	8.5221e+01	-8.6004e+01	6.9225e+06	4.8357e+05
4.0166e+04	8.2154e+01	-8.5957e+01	6.9186e+06	4.8903e+05
4.1686e+04	7.9200e+01	-8.5907e+01	6.9144e+06	4.9473e+05
4.3264e+04	7.6354e+01	-8.5854e+01	6.9100e+06	5.0085e+05
4.4902e+04	7.3608e+01	-8.5796e+01	6.9058e+06	5.0766e+05
4.6602e+04	7.0963e+01	-8.5733e+01	6.9013e+06	5.1494e+05
4.8367e+04	6.8415e+01	-8.5666e+01	6.8967e+06	5.2274e+05
5.0198e+04	6.5957e+01	-8.5594e+01	6.8921e+06	5.3104e+05
5.2098e+04	6.3591e+01	-8.5521e+01	6.8870e+06	5.3948e+05
5.4071e+04	6.1311e+01	-8.5440e+01	6.8819e+06	5.4889e+05
5.6118e+04	5.9111e+01	-8.5356e+01	6.8767e+06	5.5865e+05
5.8243e+04	5.6992e+01	-8.5267e+01	6.8713e+06	5.6893e+05
6.0448e+04	5.4949e+01	-8.5174e+01	6.8659e+06	5.7969e+05
6.2736e+04	5.2982e+01	-8.5075e+01	6.8601e+06	5.9119e+05
6.5111e+04	5.1086e+01	-8.4971e+01	6.8541e+06	6.0318e+05
6.7576e+04	4.9258e+01	-8.4862e+01	6.8479e+06	6.1571e+05
7.0135e+04	4.7497e+01	-8.4749e+01	6.8416e+06	6.2878e+05
7.2790e+04	4.5799e+01	-8.4630e+01	6.8350e+06	6.4253e+05
7.5546e+04	4.4163e+01	-8.4506e+01	6.8283e+06	6.5674e+05
7.8406e+04	4.2586e+01	-8.4374e+01	6.8213e+06	6.7197e+05
8.1375e+04	4.1068e+01	-8.4237e+01	6.8138e+06	6.8770e+05
8.4455e+04	3.9604e+01	-8.4097e+01	6.8061e+06	7.0374e+05
8.7653e+04	3.8194e+01	-8.3948e+01	6.7982e+06	7.2076e+05
9.0971e+04	3.6836e+01	-8.3794e+01	6.7897e+06	7.3833e+05
9.4416e+04	3.5527e+01	-8.3633e+01	6.7810e+06	7.5663e+05
9.7990e+04	3.4265e+01	-8.3468e+01	6.7721e+06	7.7543e+05
1.0170e+05	3.3049e+01	-8.3295e+01	6.7628e+06	7.9508e+05
